# FACILITY: LCO
# DATE-OBS: 2023-09-12
wavelength flux
3.752277903185349714e+03 1.276817499999999926e-14
3.754000752445444959e+03 1.326882500000000001e-14
3.755723601705540204e+03 1.390109499999999953e-14
3.757446450965635904e+03 1.450954374999999804e-14
3.759169300225731149e+03 1.500491874999999872e-14
3.760892149485826394e+03 1.497824999999999919e-14
3.762614998745921639e+03 1.475613250000000056e-14
3.764337848006016884e+03 1.435606624999999810e-14
3.766060697266112129e+03 1.329447624999999972e-14
3.767783546526207374e+03 1.268811999999999997e-14
3.769506395786302619e+03 1.322225499999999894e-14
3.771229245046398319e+03 1.297813500000000001e-14
3.772952094306493564e+03 1.255755249999999945e-14
3.774674943566588809e+03 1.343510624999999980e-14
3.776397792826684054e+03 1.388249999999999947e-14
3.778120642086779299e+03 1.483099749999999867e-14
3.779843491346874544e+03 1.474783874999999968e-14
3.781566340606969788e+03 1.517003124999999909e-14
3.783289189867065033e+03 1.444380000000000013e-14
3.785012039127160278e+03 1.507230999999999977e-14
3.786734888387255978e+03 1.574534874999999880e-14
3.788457737647351223e+03 1.452056124999999921e-14
3.790180586907446468e+03 1.377506749999999889e-14
3.791903436167541713e+03 1.363989499999999915e-14
3.793626285427636958e+03 1.333403874999999867e-14
3.795349134687732203e+03 1.334057749999999999e-14
3.797071983947827448e+03 1.230852124999999965e-14
3.798794833207923148e+03 1.312379874999999942e-14
3.800517682468018393e+03 1.184454499999999888e-14
3.802240531728113638e+03 1.250172249999999949e-14
3.803963380988208883e+03 1.252324124999999854e-14
3.805686230248304128e+03 1.297236374999999936e-14
3.807409079508399373e+03 1.330155124999999915e-14
3.809131928768494618e+03 1.364766749999999922e-14
3.810854778028589863e+03 1.481528624999999849e-14
3.812577627288685107e+03 1.503778749999999902e-14
3.814300476548780352e+03 1.482411124999999997e-14
3.816023325808876052e+03 1.441765875000000029e-14
3.817746175068971297e+03 1.297807749999999932e-14
3.819469024329066542e+03 1.300643874999999863e-14
3.821191873589161787e+03 1.327462249999999909e-14
3.822914722849257032e+03 1.324473874999999937e-14
3.824637572109352277e+03 1.304795374999999947e-14
3.826360421369447977e+03 1.442327124999999955e-14
3.828083270629543222e+03 1.417040999999999985e-14
3.829806119889638467e+03 1.297442874999999991e-14
3.831528969149733712e+03 1.224937124999999947e-14
3.833251818409828957e+03 1.233636999999999973e-14
3.834974667669924202e+03 1.164940249999999987e-14
3.836697516930019447e+03 1.167179125000000005e-14
3.838420366190114692e+03 1.220738249999999874e-14
3.840143215450209937e+03 1.319868374999999866e-14
3.841866064710305182e+03 1.366225124999999888e-14
3.843588913970400881e+03 1.437294124999999860e-14
3.845311763230496126e+03 1.432221125000000024e-14
3.847034612490591371e+03 1.433896749999999845e-14
3.848757461750686616e+03 1.417029874999999937e-14
3.850480311010781861e+03 1.454276125000000024e-14
3.852203160270877106e+03 1.475625999999999969e-14
3.853926009530972351e+03 1.530521124999999905e-14
3.855648858791068051e+03 1.539010499999999806e-14
3.857371708051163296e+03 1.560594999999999950e-14
3.859094557311258541e+03 1.497956999999999819e-14
3.860817406571353786e+03 1.485793625000000008e-14
3.862540255831449031e+03 1.485051624999999808e-14
3.864263105091544276e+03 1.526788499999999980e-14
3.865985954351639521e+03 1.398076874999999962e-14
3.867708803611734766e+03 1.410835374999999911e-14
3.869431652871830011e+03 1.356293250000000003e-14
3.871154502131925256e+03 1.269582124999999867e-14
3.872877351392020955e+03 1.399893624999999934e-14
3.874600200652116200e+03 1.387900874999999853e-14
3.876323049912211445e+03 1.334726249999999863e-14
3.878045899172306690e+03 1.413263124999999844e-14
3.879768748432401935e+03 1.408839874999999936e-14
3.881491597692497180e+03 1.374302874999999903e-14
3.883214446952592880e+03 1.310152374999999927e-14
3.884937296212688125e+03 1.209202874999999962e-14
3.886660145472783370e+03 1.278115624999999871e-14
3.888382994732878615e+03 1.182377624999999891e-14
3.890105843992973860e+03 1.239896124999999881e-14
3.891828693253069105e+03 1.230662874999999959e-14
3.893551542513164350e+03 1.289836999999999900e-14
3.895274391773259595e+03 1.374565874999999884e-14
3.896997241033354840e+03 1.360019749999999926e-14
3.898720090293450085e+03 1.465548999999999865e-14
3.900442939553545330e+03 1.490290499999999914e-14
3.902165788813641029e+03 1.579357499999999829e-14
3.903888638073736274e+03 1.547355124999999894e-14
3.905611487333831519e+03 1.530575874999999830e-14
3.907334336593926764e+03 1.590141624999999944e-14
3.909057185854022009e+03 1.608455749999999927e-14
3.910780035114117254e+03 1.595423625000000017e-14
3.912502884374212954e+03 1.570204875000000064e-14
3.914225733634308199e+03 1.552390999999999946e-14
3.915948582894403444e+03 1.543020374999999987e-14
3.917671432154498689e+03 1.474435874999999829e-14
3.919394281414593934e+03 1.510749374999999980e-14
3.921117130674689179e+03 1.518682374999999866e-14
3.922839979934784424e+03 1.423643374999999783e-14
3.924562829194879669e+03 1.458781999999999887e-14
3.926285678454974914e+03 1.459667249999999856e-14
3.928008527715070159e+03 1.484115624999999826e-14
3.929731376975165858e+03 1.544684250000000030e-14
3.931454226235261103e+03 1.454398625000000057e-14
3.933177075495356348e+03 1.450756249999999976e-14
3.934899924755451593e+03 1.478506624999999935e-14
3.936622774015546838e+03 1.457302249999999984e-14
3.938345623275642083e+03 1.499611874999999905e-14
3.940068472535737783e+03 1.589135499999999807e-14
3.941791321795833028e+03 1.571459249999999997e-14
