2457910.89266 16.352 0.007 4.21 611.0
2457911.55721 16.396 0.012 7.32 1116.0
2457911.59451 16.387 0.011 7.10 901.0
2457911.64106 16.341 0.009 5.75 751.0
2457911.68832 16.352 0.008 4.98 702.0
2457911.75889 16.397 0.012 7.24 778.0
2457911.85071 16.395 0.013 7.45 842.0
2457916.60929 16.326 0.008 4.30 1450.0
2457916.65165 16.331 0.008 3.99 1426.0
2457916.69190 16.336 0.009 5.03 1279.0
2457916.78091 16.322 0.008 3.60 1539.0
2457916.82184 16.344 0.007 3.82 936.0
2457917.53854 16.395 0.012 7.99 845.0
2457917.58760 16.359 0.009 6.21 734.0
2457917.63765 16.350 0.008 4.77 656.0
2457917.68532 16.341 0.007 4.39 628.0
2457917.73599 16.337 0.007 4.50 625.0
2457917.78328 16.337 0.007 4.48 666.0
2457917.82933 16.347 0.009 5.17 783.0
2457917.87511 16.344 0.009 5.38 891.0
2457917.91865 16.346 0.010 5.99 1100.0
2457918.61417 16.351 0.010 6.42 797.0
2457918.69316 16.349 0.009 5.57 1204.0
2457922.59895 16.354 0.009 6.26 604.0
2457922.64517 16.354 0.008 5.31 532.0
2457922.71174 16.358 0.009 5.85 531.0
2457923.52265 16.383 0.011 7.49 676.0
2457923.56790 16.357 0.009 6.40 636.0
2457923.61373 16.338 0.008 5.58 575.0
2457923.67689 16.345 0.008 5.62 519.0
2457923.73551 16.368 0.010 6.46 565.0
2457923.78338 16.354 0.009 5.63 565.0
2457923.82880 16.368 0.009 5.99 580.0
2457923.88366 16.359 0.010 6.55 675.0
2457924.52409 16.377 0.010 7.88 605.0
2457924.57016 16.362 0.008 5.63 575.0
2457924.61600 16.341 0.007 4.81 535.0
2457924.66045 16.339 0.007 4.90 529.0
2457924.72672 16.357 0.007 4.42 535.0
2457924.77399 16.370 0.008 4.58 513.0
2457924.81974 16.340 0.007 4.05 561.0
2457924.86622 16.324 0.007 4.01 616.0
2457925.59410 16.347 0.008 5.84 508.0
2457925.64004 16.354 0.006 4.54 476.0
2457925.70470 16.342 0.006 4.24 462.0
2457925.76080 16.342 0.007 5.00 483.0
2457925.80856 16.372 0.008 5.69 502.0
2457925.86069 16.360 0.008 5.64 565.0
2457926.57785 16.388 0.010 7.48 551.0
2457926.63261 16.353 0.008 5.39 491.0
2457926.70859 16.346 0.009 6.27 526.0
2457926.75963 16.368 0.008 5.31 513.0
2457926.81366 16.377 0.009 5.94 556.0
2457928.57551 16.358 0.009 6.61 590.0
2457928.62308 16.369 0.009 6.01 582.0
2457928.67357 16.357 0.007 4.85 524.0
2457929.81791 16.383 0.009 6.90 819.0
2457932.63464 16.347 0.008 5.13 508.0
2457932.69312 16.367 0.010 7.09 537.0
2457932.75306 16.384 0.009 6.00 490.0
2457932.79871 16.365 0.009 6.58 508.0
2457932.84429 16.342 0.009 6.19 604.0
2457933.61308 16.364 0.008 6.06 498.0
2457933.66018 16.370 0.010 7.29 479.0
2457933.71917 16.353 0.008 5.76 449.0
2457933.77642 16.388 0.010 7.28 485.0
2457933.81252 16.356 0.010 7.18 504.0
2457933.82430 16.368 0.010 6.93 519.0
2457933.83313 16.363 0.011 7.42 525.0
2457933.84709 16.361 0.010 7.15 559.0
2457934.51761 16.315 0.008 5.87 568.0
2457934.56341 16.334 0.008 5.34 540.0
2457934.60903 16.347 0.008 5.33 518.0
2457934.68390 16.334 0.007 4.22 491.0
2457934.71595 16.329 0.007 5.00 499.0
2457934.76337 16.344 0.008 5.29 515.0
2457934.80922 16.360 0.009 6.32 517.0
2457934.84997 16.365 0.010 6.82 519.0
2457935.50246 16.343 0.008 5.84 619.0
2457935.54887 16.340 0.007 4.99 538.0
2457935.60586 16.341 0.007 4.49 499.0
2457935.66348 16.342 0.008 5.21 487.0
2457935.71253 16.339 0.007 4.18 468.0
2457935.75942 16.330 0.007 4.29 450.0
2457935.80576 16.345 0.006 4.00 449.0
2457935.86863 16.338 0.007 4.46 508.0
2457935.87850 16.346 0.007 4.51 506.0
2457936.51044 16.344 0.009 6.70 582.0
2457936.55682 16.343 0.007 5.06 531.0
2457936.60528 16.343 0.007 5.16 476.0
2457936.66730 16.342 0.007 5.14 464.0
2457936.72485 16.354 0.007 4.99 460.0
2457936.78145 16.336 0.007 5.25 442.0
2457936.82917 16.346 0.008 6.24 459.0
2457936.86838 16.366 0.010 7.32 521.0
2457937.49858 16.329 0.008 6.08 724.0
2457937.54650 16.341 0.009 6.02 631.0
2457937.59402 16.355 0.008 4.87 542.0
2457937.64125 16.341 0.007 4.65 499.0
2457937.69953 16.344 0.007 4.37 498.0
2457937.75747 16.349 0.008 5.25 507.0
2457937.80458 16.345 0.010 7.28 507.0
2457938.52209 16.366 0.010 6.41 728.0
2457938.56923 16.377 0.010 6.31 630.0
2457938.61933 16.394 0.010 6.92 637.0
2457944.46580 16.357 0.012 6.55 1333.0
2457944.50691 16.343 0.009 5.80 924.0
2457944.54606 16.336 0.008 5.03 884.0
2457944.58611 16.350 0.008 4.58 804.0
2457944.62506 16.349 0.008 5.16 785.0
2457944.67335 16.337 0.008 4.73 715.0
2457944.72218 16.331 0.008 4.97 741.0
2457944.76987 16.342 0.008 4.61 805.0
2457944.81008 16.338 0.013 7.69 948.0
2457944.83887 16.359 0.012 7.08 1174.0
2457945.48844 16.329 0.009 6.17 767.0
2457945.53081 16.346 0.008 5.47 720.0
2457945.57868 16.337 0.007 4.67 625.0
2457945.62509 16.332 0.007 4.06 597.0
2457945.67395 16.339 0.007 3.92 568.0
2457945.72176 16.333 0.007 3.97 595.0
2457945.76883 16.339 0.007 4.13 663.0
2457945.81583 16.346 0.008 4.43 747.0
2457946.47314 16.354 0.009 6.62 600.0
2457946.51203 16.344 0.008 5.60 513.0
2457946.56910 16.348 0.009 5.66 626.0
2457946.61681 16.337 0.008 5.28 581.0
2457946.68253 16.333 0.007 4.45 545.0
2457946.73031 16.353 0.008 5.23 568.0
2457946.77854 16.352 0.008 5.86 575.0
2457946.82611 16.364 0.009 5.72 656.0
2457947.52288 16.365 0.009 6.72 551.0
2457947.56852 16.362 0.008 5.29 508.0
2457947.61650 16.355 0.008 5.78 550.0
2457947.76061 16.355 0.009 6.24 571.0
2457947.79856 16.353 0.010 6.85 631.0
2457948.48047 16.340 0.009 6.67 565.0
2457948.52206 16.353 0.008 5.46 521.0
2457948.58923 16.340 0.007 5.08 459.0
2457948.63937 16.359 0.008 5.36 603.0
2457948.68836 16.354 0.008 4.88 689.0
2457948.75886 16.331 0.007 4.49 578.0
2457948.80544 16.354 0.009 5.79 649.0
2457949.55479 16.347 0.010 6.53 774.0
2457949.59417 16.353 0.008 5.06 661.0
2457949.64858 16.360 0.009 5.84 588.0
2457949.70297 16.363 0.010 6.13 663.0
2457949.75611 16.323 0.009 5.55 821.0
2457952.70653 16.381 0.010 6.80 493.0
2457952.76616 16.341 0.008 5.74 476.0
2457952.81233 16.361 0.009 6.14 507.0
2457953.48953 16.360 0.010 6.77 606.0
2457953.53994 16.332 0.007 4.30 481.0
2457953.60869 16.345 0.008 5.24 477.0
2457953.66527 16.346 0.008 5.23 440.0
2457953.71512 16.344 0.007 4.53 415.0
2457953.76640 16.347 0.008 5.47 480.0
2457953.81519 16.330 0.008 5.64 520.0
2457954.50615 16.336 0.006 4.66 684.0
2457954.55718 16.332 0.007 4.14 504.0
2457954.63223 16.344 0.007 4.24 440.0
2457954.68562 16.365 0.007 4.60 437.0
2457954.75048 16.333 0.006 4.14 512.0
2457955.71555 16.330 0.007 4.01 530.0
